,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
150,754020,0.57,False,De Pijp - Rivierenbuurt,52.34829,4.91047,Entire home/apt,4,2.0,2.0,7,199.0,5,90,True,0,2,4.86,False,49.75,995.0,0.09,0.21,0.2,4.99,0.1643835616438356,828.2876712328767
151,754613,0.4099999999999999,True,Centrum-Oost,52.37266,4.90456,Entire home/apt,4,2.0,3.0,11,250.0,4,250,True,3,5,4.93,False,62.5,1000.0,0.1,0.19,0.19,4.99,0.2493150684931507,1355.4794520547946
152,755431,1.0,True,De Baarsjes - Oud-West,52.37066,4.87405,Private room,3,1.0,2.0,1,125.0,2,1125,True,1,4,4.93,False,41.67,250.0,0.07,0.17,0.19,4.99,,
153,758475,0.0,False,De Baarsjes - Oud-West,52.36827,4.87107,Entire home/apt,4,2.0,1.0,10,100.0,6,60,True,0,0,4.74,False,25.0,600.0,0.07,0.12,0.22,4.99,0.0,499.86301369863014
154,759060,0.55,False,Centrum-West,52.36754,4.88733,Entire home/apt,4,2.0,2.0,9,325.0,3,60,True,0,0,4.94,False,81.25,975.0,0.12,0.24,0.24,4.99,0.0,2197.958904109589
155,759299,0.22,False,De Baarsjes - Oud-West,52.36115,4.85209,Entire home/apt,4,2.0,5.0,4,225.0,2,14,True,2,0,4.78,False,56.25,450.0,0.1,0.22,0.26,4.99,,
156,759402,0.0,False,Centrum-West,52.36652,4.87854,Entire home/apt,2,1.0,2.0,7,180.0,6,30,True,0,0,4.9,False,90.0,1080.0,0.06,0.15,0.17,4.99,0.0,900.0
157,761411,1.0,False,Noord-Oost,52.40164,4.95106,Private room,2,1.0,1.0,2,62.0,2,365,True,7,5,4.08,True,31.0,124.0,0.06,0.09,0.15,2.99,,
158,768274,0.88,False,Westerpark,52.38855,4.88521,Entire home/apt,2,1.0,1.0,11,229.0,2,1125,True,0,2,4.81,True,114.5,458.0,0.11,0.19,0.19,4.99,,
159,768737,1.0,False,Westerpark,52.37824,4.86826,Private room,2,1.0,1.0,5,109.0,2,1125,True,1,4,4.8,True,54.5,218.0,0.04,0.14,0.16,4.99,,
160,771343,0.76,True,Centrum-West,52.37641,4.88303,Private room,2,1.0,1.0,6,117.0,1,4,True,1,7,4.89,True,58.5,117.0,0.08,0.15,0.18,4.99,,
161,771758,1.0,True,Slotervaart,52.34985,4.83578,Private room,2,1.0,1.0,1,67.0,2,8,True,1,1,4.24,False,33.5,134.0,0.06,0.15,0.16,2.99,,
162,775655,0.9700000000000001,False,Centrum-Oost,52.37026,4.89931,Private room,2,1.0,1.0,5,135.0,3,31,True,0,1,4.61,True,67.5,405.0,0.07,0.16,0.13,4.99,0.6328767123287671,683.8356164383562
163,780674,0.5700000000000001,False,Centrum-Oost,52.36855,4.90766,Entire home/apt,2,1.0,1.0,10,149.0,2,15,True,0,0,4.87,False,74.5,298.0,0.06,0.14,0.15,4.99,,
164,782254,0.7899999999999999,False,Centrum-West,52.37142,4.89036,Entire home/apt,4,2.0,3.0,22,399.0,2,10,True,0,0,4.65,False,99.75,798.0,0.14,0.23,0.19,4.99,,
